time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,windspeed_10m_max
January,2.53,-1.46,-2.08,-6.49,2.17,22.97
February,5.79,0.23,1.25,-4.45,2.26,23.91
March,7.36,-1.94,3.36,-6.14,0.14,14.35
April,10.39,2.35,6.97,-1.38,2.12,16.93
May,18.42,8.79,16.03,5.85,2.17,19.57
June,24.17,14.23,23.91,13.46,1.76,15.53
July,23.92,15.19,23.31,14.35,3.36,16.80
August,25.84,16.91,26.56,17.26,1.45,13.32
September,16.46,9.04,14.19,6.83,1.61,15.45
October,15.05,8.09,13.21,5.87,1.66,16.45
November,6.30,2.49,3.55,-0.87,0.83,13.52
December,2.08,-1.89,-1.83,-6.30,2.15,16.80
