carat, clarity, color, cut, x dimension, y dimension, z dimension, depth, table, price
0.5, IF, D, Ideal, 5.1, 5.15, 3.2, 61.5, , 3000
0.7, vvs2, E, premium, 5.7, , 3.52, 62, 59, 4500
, Si2, h, Good, 4.3, 4.31, , 62.3, 56, 700
1.2, if, d, ideal, , 6.82, 4.2, 61.7, 58, 10000
0.9, I1, J, Fair, 6, , 3.7, 61.7, , 2400
, Si1, G, very Good, 5.9, 5.92, 3.63, , 57, 4200
0.5, if, D, Ideal, 5.1, , 3.2, 61.5, 57, 3100
0.4, Vvs1, f, good, 4.8, 4.79, 2.95, , , 1500
, SI2, I, good, 4.3, 4.32, , 62.3, , 
1.0, vvs1, F, Ideal, 6.4, , 4, , 58, 7500
0.5, Si1, Colorless, premium, , 5.21, 3.21, 61.6, 58, 
0.4, vvs2, G, Very good, 4.9, 4.88, , 61.2, 56, 1400
, si2, j, Fair, 5.7, 5.71, 3.54, , 54, 2000
1.1, vvs1, e, premium, 6.6, , 4.08, , 57, 9200
0.55, SI2, H, good, 5.3, 5.29, , 62, , 1800
, vvs2, I, Good, 4.4, 4.39, 2.69, 61.3, 57, 
0.5, si1, g, very good, 5.2, , 3.2, , 56, 2300
1.0, IF, d, ideal, 6.5, 6.49, , 61.7, 58, 
0.6, si2, h, Good, 5.5, 5.52, , , 57, 2200
0.7, i1, J, fair, , 5.79, 3.57, 61.6, , 2100
, VVS1, f, Ideal, 6.1, 6.15, 3.9, 61.8, 57, 6000
1.3, si1, G, premium, 6.9, , 4.3, 63, 60, 10500
1.4, IF, D, good, 7.1, 7.12, , 62.4, 59, 11000
, VVS2, e, Good, 4.6, 4.58, 2.85, , 56, 800
1.6, i1, I, fair, 7.3, 7.28, 4.5, , 54, 3400
0.2, Si1, H, very Good, 3.9, 3.89, 2.41, 62.1, , 500
0.35, if, G, Ideal, 4.5, 4.52, , 61.9, 56, 1300
, VVS2, g, good, 4.6, , 2.83, 62.2, 57, 1600
0.55, I1, j, premium, 5.4, 5.42, 3.35, 62.1, , 2500
, vvs1, D, Ideal, 6.7, 6.71, 4.15, , 58, 7700
0.65, Si2, colorless, very good, 5.6, , 3.47, 62.3, 58, 2900
1.5, vvs2, F, good, 7.2, 7.18, , 62.7, 59, 10800
0.9, si2, h, Fair, 6.1, 6.12, 3.78, 62.4, , 2600
, VVS1, e, premium, 6.9, , 4.27, 62.2, 57, 9300
0.45, SI2, I, good, 4.9, 4.91, , 62.1, 56, 1700
0.6, vvs2, G, Good, 5.5, 5.49, , , 58, 2800
, si1, f, very good, 5.3, 5.31, 3.3, 62, 57, 2700
0.95, IF, d, ideal, 6.3, , 3.9, 62.6, 58, 9400
1.05, si2, j, Good, 6.6, 6.58, , 62.7, , 8500
, i1, G, fair, 5.9, , 3.65, 61.9, 55, 2200
0.45, si2, H, ideal, 4.8, 4.82, 3.01, 62.1, 56, 1500
, IF, f, Premium, 6.2, , 3.84, 61.9, 58, 5900
0.85, VVS1, I, good, 5.8, 5.82, , 62.2, 55, 4800
0.95, vvs2, D, Good, 6.3, 6.31, 3.91, 62.4, , 7300
, si1, E, fair, 6.0, 6.01, , , 54, 2700
0.35, IF, g, Very Good, 4.6, , 2.85, 62.0, 57, 1400
0.55, VVS2, j, Ideal, 5.4, , 3.35, 62.3, 56, 2600
, I1, d, good, 4.8, 4.79, 2.96, 61.8, , 1200
1.05, vvs1, F, Premium, 6.7, 6.69, 4.13, , 58, 9500
0.75, Si2, G, good, 5.7, 5.71, , 62.5, 57, 3800
0.65, si1, Colorless, Very Good, 5.6, 5.58, 3.48, 62.6, , 3300
1.4, vvs2, H, good, 7.1, , 4.39, 62.7, 59, 11200
0.3, i1, I, Fair, 4.4, 4.41, , 62.1, 55, 600
0.5, VVS1, E, premium, 5.2, 5.22, , , 58, 2900
1.3, SI2, f, Good, 6.9, , 4.26, 62.3, 57, 9900
, vvs2, D, good, 6.8, 6.81, 4.21, , 59, 8100
0.4, si1, j, Very Good, 4.8, 4.78, 2.96, 62.2, , 1400
1.15, IF, g, Ideal, 6.5, , 4.02, 62.0, 58, 9800
, i1, H, good, 5.9, 5.88, 3.63, 62.4, , 2100
0.55, si2, I, Fair, 5.3, , 3.29, 62.1, 54, 1700
0.6, VVS2, d, Premium, 5.6, 5.58, 3.48, , 57, 3700
, si1, F, very good, 6.1, 6.12, , 62.1, 59, 5000
0.35, i1, G, Ideal, 4.5, 4.52, 2.79, 62.0, , 900
0.75, VVS1, h, good, 5.8, 5.81, , 62.3, 56, 4600
, si2, E, Fair, 5.9, , 3.64, 62.2, 54, 2500
1.05, IF, I, Premium, 6.6, 6.59, 4.09, , 58, 9600
0.4, VVS2, j, good, 4.7, 4.69, 2.91, 62.1, , 1800
0.55, I1, G, very good, 5.3, , 3.28, 62.4, 57, 2300
, vvs1, H, Ideal, 6.8, 6.79, 4.21, 62.2, , 7900
0.7, Si2, d, good, 5.7, 5.69, 3.53, 62.5, , 4000
0.9, si1, colorless, Premium, 6.2, 6.22, , 62.3, 59, 6600
0.5, vvs2, F, good, 5.2, , 3.22, 62.6, 58, 3100
0.45, i1, I, fair, 4.8, 4.81, 2.98, , 54, 1100
1.2, VVS1, e, Premium, 6.8, , 4.20, 62.7, 58, 10200
